name,description,managerDomain,managerName,consumerDomain,consumerName,supportDomain,supportUser,emailTo,adContainer
Business Group 001,,lab.local,user000999,lab.local,group001,,,user000999@lab.local,
Business Group 002,,lab.local,user001999,lab.local,group002,,,user001999@lab.local,
Business Group 003,,lab.local,user002999,lab.local,group003,,,user002999@lab.local,
Business Group 004,,lab.local,user003999,lab.local,group004,,,user003999@lab.local,
Business Group 005,,lab.local,user004999,lab.local,group005,,,user004999@lab.local,
Business Group 006,,lab.local,user005999,lab.local,group006,,,user005999@lab.local,
Business Group 007,,lab.local,user006999,lab.local,group007,,,user006999@lab.local,
Business Group 008,,lab.local,user007999,lab.local,group008,,,user007999@lab.local,
Business Group 009,,lab.local,user008999,lab.local,group009,,,user008999@lab.local,
Business Group 010,,lab.local,user009999,lab.local,group010,,,user009999@lab.local,
Business Group 011,,lab.local,user010999,lab.local,group011,,,user010999@lab.local,
Business Group 012,,lab.local,user011999,lab.local,group012,,,user011999@lab.local,
Business Group 013,,lab.local,user012999,lab.local,group013,,,user012999@lab.local,
Business Group 014,,lab.local,user013999,lab.local,group014,,,user013999@lab.local,
Business Group 015,,lab.local,user014999,lab.local,group015,,,user014999@lab.local,
Business Group 016,,lab.local,user015999,lab.local,group016,,,user015999@lab.local,
Business Group 017,,lab.local,user016999,lab.local,group017,,,user016999@lab.local,
Business Group 018,,lab.local,user017999,lab.local,group018,,,user017999@lab.local,
Business Group 019,,lab.local,user018999,lab.local,group019,,,user018999@lab.local,
Business Group 020,,lab.local,user019999,lab.local,group020,,,user019999@lab.local,
Business Group 021,,lab.local,user020999,lab.local,group021,,,user020999@lab.local,
Business Group 022,,lab.local,user021999,lab.local,group022,,,user021999@lab.local,
Business Group 023,,lab.local,user022999,lab.local,group023,,,user022999@lab.local,
Business Group 024,,lab.local,user023999,lab.local,group024,,,user023999@lab.local,
Business Group 025,,lab.local,user024999,lab.local,group025,,,user024999@lab.local,
Business Group 026,,lab.local,user025999,lab.local,group026,,,user025999@lab.local,
Business Group 027,,lab.local,user026999,lab.local,group027,,,user026999@lab.local,
Business Group 028,,lab.local,user027999,lab.local,group028,,,user027999@lab.local,
Business Group 029,,lab.local,user028999,lab.local,group029,,,user028999@lab.local,
Business Group 030,,lab.local,user029999,lab.local,group030,,,user029999@lab.local,
Business Group 031,,lab.local,user030999,lab.local,group031,,,user030999@lab.local,
Business Group 032,,lab.local,user031999,lab.local,group032,,,user031999@lab.local,
Business Group 033,,lab.local,user032999,lab.local,group033,,,user032999@lab.local,
Business Group 034,,lab.local,user033999,lab.local,group034,,,user033999@lab.local,
Business Group 035,,lab.local,user034999,lab.local,group035,,,user034999@lab.local,
Business Group 036,,lab.local,user035999,lab.local,group036,,,user035999@lab.local,
Business Group 037,,lab.local,user036999,lab.local,group037,,,user036999@lab.local,
Business Group 038,,lab.local,user037999,lab.local,group038,,,user037999@lab.local,
Business Group 039,,lab.local,user038999,lab.local,group039,,,user038999@lab.local,
Business Group 040,,lab.local,user039999,lab.local,group040,,,user039999@lab.local,
Business Group 041,,lab.local,user040999,lab.local,group041,,,user040999@lab.local,
Business Group 042,,lab.local,user041999,lab.local,group042,,,user041999@lab.local,
Business Group 043,,lab.local,user042999,lab.local,group043,,,user042999@lab.local,
Business Group 044,,lab.local,user043999,lab.local,group044,,,user043999@lab.local,
Business Group 045,,lab.local,user044999,lab.local,group045,,,user044999@lab.local,
Business Group 046,,lab.local,user045999,lab.local,group046,,,user045999@lab.local,
Business Group 047,,lab.local,user046999,lab.local,group047,,,user046999@lab.local,
Business Group 048,,lab.local,user047999,lab.local,group048,,,user047999@lab.local,
Business Group 049,,lab.local,user048999,lab.local,group049,,,user048999@lab.local,
Business Group 050,,lab.local,user049999,lab.local,group050,,,user049999@lab.local,
Business Group 051,,lab.local,user050999,lab.local,group051,,,user050999@lab.local,
Business Group 052,,lab.local,user051999,lab.local,group052,,,user051999@lab.local,
Business Group 053,,lab.local,user052999,lab.local,group053,,,user052999@lab.local,
Business Group 054,,lab.local,user053999,lab.local,group054,,,user053999@lab.local,
Business Group 055,,lab.local,user054999,lab.local,group055,,,user054999@lab.local,
Business Group 056,,lab.local,user055999,lab.local,group056,,,user055999@lab.local,
Business Group 057,,lab.local,user056999,lab.local,group057,,,user056999@lab.local,
Business Group 058,,lab.local,user057999,lab.local,group058,,,user057999@lab.local,
Business Group 059,,lab.local,user058999,lab.local,group059,,,user058999@lab.local,
Business Group 060,,lab.local,user059999,lab.local,group060,,,user059999@lab.local,
Business Group 061,,lab.local,user060999,lab.local,group061,,,user060999@lab.local,
Business Group 062,,lab.local,user061999,lab.local,group062,,,user061999@lab.local,
Business Group 063,,lab.local,user062999,lab.local,group063,,,user062999@lab.local,
Business Group 064,,lab.local,user063999,lab.local,group064,,,user063999@lab.local,
Business Group 065,,lab.local,user064999,lab.local,group065,,,user064999@lab.local,
Business Group 066,,lab.local,user065999,lab.local,group066,,,user065999@lab.local,
Business Group 067,,lab.local,user066999,lab.local,group067,,,user066999@lab.local,
Business Group 068,,lab.local,user067999,lab.local,group068,,,user067999@lab.local,
Business Group 069,,lab.local,user068999,lab.local,group069,,,user068999@lab.local,
Business Group 070,,lab.local,user069999,lab.local,group070,,,user069999@lab.local,
Business Group 071,,lab.local,user070999,lab.local,group071,,,user070999@lab.local,
Business Group 072,,lab.local,user071999,lab.local,group072,,,user071999@lab.local,
Business Group 073,,lab.local,user072999,lab.local,group073,,,user072999@lab.local,
Business Group 074,,lab.local,user073999,lab.local,group074,,,user073999@lab.local,
Business Group 075,,lab.local,user074999,lab.local,group075,,,user074999@lab.local,
Business Group 076,,lab.local,user075999,lab.local,group076,,,user075999@lab.local,
Business Group 077,,lab.local,user076999,lab.local,group077,,,user076999@lab.local,
Business Group 078,,lab.local,user077999,lab.local,group078,,,user077999@lab.local,
Business Group 079,,lab.local,user078999,lab.local,group079,,,user078999@lab.local,
Business Group 080,,lab.local,user079999,lab.local,group080,,,user079999@lab.local,
Business Group 081,,lab.local,user080999,lab.local,group081,,,user080999@lab.local,
Business Group 082,,lab.local,user081999,lab.local,group082,,,user081999@lab.local,
Business Group 083,,lab.local,user082999,lab.local,group083,,,user082999@lab.local,
Business Group 084,,lab.local,user083999,lab.local,group084,,,user083999@lab.local,
Business Group 085,,lab.local,user084999,lab.local,group085,,,user084999@lab.local,
Business Group 086,,lab.local,user085999,lab.local,group086,,,user085999@lab.local,
Business Group 087,,lab.local,user086999,lab.local,group087,,,user086999@lab.local,
Business Group 088,,lab.local,user087999,lab.local,group088,,,user087999@lab.local,
Business Group 089,,lab.local,user088999,lab.local,group089,,,user088999@lab.local,
Business Group 090,,lab.local,user089999,lab.local,group090,,,user089999@lab.local,
Business Group 091,,lab.local,user090999,lab.local,group091,,,user090999@lab.local,
Business Group 092,,lab.local,user091999,lab.local,group092,,,user091999@lab.local,
Business Group 093,,lab.local,user092999,lab.local,group093,,,user092999@lab.local,
Business Group 094,,lab.local,user093999,lab.local,group094,,,user093999@lab.local,
Business Group 095,,lab.local,user094999,lab.local,group095,,,user094999@lab.local,
Business Group 096,,lab.local,user095999,lab.local,group096,,,user095999@lab.local,
Business Group 097,,lab.local,user096999,lab.local,group097,,,user096999@lab.local,
Business Group 098,,lab.local,user097999,lab.local,group098,,,user097999@lab.local,
Business Group 099,,lab.local,user098999,lab.local,group099,,,user098999@lab.local,
Business Group 100,,lab.local,user099999,lab.local,group100,,,user099999@lab.local,
